THE	53097401461
OF	30966074232
AND	22632024504
TO	19347398077
IN	16891065263
A	15310087895
IS	8384246685
THAT	8000768228
FOR	6545282031
IT	5740085369
AS	5700645258
WAS	5502713968
WITH	5182797249
BE	4818864785
BY	4703106084
ON	4594521081
NOT	4522732626
HE	4110457083
I	3884828634
THIS	3826060334
ARE	3700433333
OR	3667713965
HIS	3611377789
FROM	3469207674
AT	3413452256
WHICH	3140226612
BUT	2792350185
HAVE	2777439117
AN	2726250863
HAD	2616021603
THEY	2462131290
YOU	2337737641
WERE	2270487439
THEIR	2152980325
ONE	2148983086
ALL	2062779102
WE	2057296224
CAN	1665414118
HER	1633278704
HAS	1632148758
THERE	1623700147
BEEN	1619043628
IF	1564986692
MORE	1547251508
WHEN	1519738651
WILL	1485140664
WOULD	1472811049
WHO	1464601967
SO	1449153410
NO	1400645478
SHE	1392695717
OTHER	1383185827
ITS	1369438835
MAY	1318050430
THESE	1305787385
WHAT	1222533828
THEM	1199636039
THAN	1185020453
SOME	1182318418
HIM	1180769747
TIME	1167810273
INTO	1144226142
ONLY	1135235700
DO	1116608183
SUCH	1100072478
MY	1082298016
NEW	1073292865
ABOUT	1070877995
OUT	1048211344
ALSO	1038616504
TWO	1034082956
ANY	983649138
UP	975409474
FIRST	923189150
COULD	886891028
OUR	874965041
THEN	872791735
MOST	860964491
SEE	846494292
ME	819570654
SHOULD	814245936
AFTER	802220137
SAID	757996425
YOUR	750769635
VERY	746876416
BETWEEN	744064796
MADE	737658132
MANY	732675942
OVER	715517744
LIKE	709849832
THOSE	691668501
DID	689814257
NOW	679337516
EVEN	677507335
WELL	675415316
WHERE	671644491
MUST	662994536
PEOPLE	658716166
THROUGH	647091198
HOW	630072115
SAME	624529137
WORK	621797228
BEING	616194541
BECAUSE	612321946
MAN	609019192
LIFE	607266209
BEFORE	605166565
EACH	601281917
MUCH	601262291
UNDER	585610545
S	569891879
YEARS	563247544
WAY	559785767
GREAT	557149997
STATE	553386027
BOTH	543776931
USE	535798133
UPON	532434413
OWN	524268424
USED	524065144
HOWEVER	519207264
US	516975345
PART	515815125
GOOD	509939542
WORLD	505870068
MAKE	502804979
THREE	487787199
WHILE	483440546
LONG	477333877
DAY	471012276
WITHOUT	465581954
JUST	454162727
MEN	454094525
GENERAL	450612588
DURING	448173996
ANOTHER	444695376
LITTLE	442854872
FOUND	436617767
HERE	432309508
SYSTEM	428655277
DOES	426675356
DE	424296592
DOWN	422555509
NUMBER	421670920
CASE	416258729
AGAINST	410444403
MIGHT	409560494
STILL	408263128
BACK	406548203
RIGHT	405717045
KNOW	405542218
PLACE	401396238
EVERY	393306866
GOVERNMENT	390643826
TOO	387800392
HIGH	384098421
OLD	383853789
DIFFERENT	381761001
STATES	379406076
TAKE	378659319
YEAR	377400785
POWER	374440251
SINCE	371590865
GIVEN	370958373
GOD	368677508
NEVER	367408537
SOCIAL	362939226
ORDER	360669813
WATER	355340324
THUS	352803269
FORM	352032932
WITHIN	351785120
SMALL	350484848
SHALL	343397728
PUBLIC	342759195
LARGE	342399659
LAW	338265440
COME	337666242
LESS	337388744
CHILDREN	336723802
WAR	335494566
POINT	333858038
CALLED	329762185
AMERICAN	329409247
AGAIN	326183679
OFTEN	325385700
GO	323996019
FEW	321537010
AMONG	321351351
IMPORTANT	318798581
END	318429766
GET	318321184
HOUSE	316642686
SECOND	316484908
THOUGH	315756488
PRESENT	313754008
EXAMPLE	313505718
HIMSELF	311869400
WOMEN	311778830
LAST	310248709
SAY	310063047
LEFT	306802162
FACT	303323018
OFF	302535533
SET	302361340
PER	300402417
YET	298106656
HAND	297264744
CAME	294530569
DEVELOPMENT	292567752
THOUGHT	292090261
ALWAYS	289326176
FAR	288760391
COUNTRY	287858905
YORK	287117910
SCHOOL	286198020
INFORMATION	285127664
GROUP	284672959
FOLLOWING	282890287
THINK	282298331
OTHERS	280160469
POLITICAL	279042950
HUMAN	279027691
HISTORY	277771947
UNITED	275947752
GIVE	275807450
FAMILY	275638251
FIND	274292734
NEED	273479350
FIGURE	273002399
POSSIBLE	272346265
ALTHOUGH	269984217
RATHER	269938951
LATER	269420608
UNIVERSITY	267605414
ONCE	267334111
COURSE	267248526
UNTIL	266946065
SEVERAL	266874027
NATIONAL	265411421
WHOLE	264397495
CHAPTER	263277218
EARLY	262989441
FOUR	262968583
HOME	262557366
MEANS	261935832
THINGS	261491585
PROCESS	261231720
NATURE	258607404
ABOVE	257260161
THEREFORE	256680119
HAVING	256366406
CERTAIN	255354603
CONTROL	254704442
DATA	254114763
NAME	253016135
ACT	252837316
CHANGE	252169887
VALUE	251727013
BODY	251658904
STUDY	251146114
ET	249406150
TABLE	247925745
BECOME	247467268
WHETHER	245964864
CITY	245776687
BOOK	244679041
TAKEN	244444700
SIDE	244375385
TIMES	244274912
AWAY	243726011
C	243374626
KNOWN	242748318
PERIOD	240810310
BEST	239519326
B	239260173
LINE	237500159
AM	236082024
COURT	235765991
JOHN	235323655
DAYS	235135424
PUT	234694082
